Job Title,Company,Location,Date Posted,Company ID,Post ID,URL
Sr. Software Engineer-Ruby/Rails-Business...,Ingram Content Group Inc.,"Raleigh, NC",11-14-2016,RTX1766a0,2287BR-201,https://www.dice.com/jobs/detail/Sr.-Software-Engineer%26%2345Ruby%26%2347Rails%26%2345Business-Center-%28VitalSource%29-Ingram-Content-Group-Inc.-Raleigh-NC-27601/RTX1766a0/2287BR-201?icid=sr59-1p&q=ruby developer&l=
"Mid-Senior Software Engineer - (Clojure,...",BRIDGE NOBLE,"Los Angeles, CA",11-14-2016,10504574,FACTCLOJ001,https://www.dice.com/jobs/detail/Mid%26%2345Senior-Software-Engineer-%26%2345-%28Clojure%2C-Scala%2C-Java-or-Ruby%29-%26%2345-LA-BRIDGE-NOBLE-Los-Angeles-CA-90025/10504574/FACTCLOJ001?icid=sr60-1p&q=ruby developer&l=
Senior Software Engineer- Ruby,"Cast & Crew Entertainment Services, Inc.","Burbank, CA",11-07-2016,RTL99102,455449,https://www.dice.com/jobs/detail/Senior-Software-Engineer%26%2345-Ruby-Cast-%26-Crew-Entertainment-Services%2C-Inc.-Burbank-CA-91504/RTL99102/455449?icid=sr61-1p&q=ruby developer&l=
Ruby on Rails Developer,NCSA Sports,"Yardley, PA",10-19-2016,90933008,742462,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-NCSA-Sports-Yardley-PA-19067/90933008/742462?icid=sr62-1p&q=ruby developer&l=
"Software Engineer - Ruby on Rails, early...",Bivium Group,"Boston, MA",11-14-2016,10110565,Ruby_Rails,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Ruby-on-Rails%2C-early-stage-healthcare-app-Bivium-Group-Boston-MA-02111/10110565/Ruby_Rails?icid=sr63-1p&q=ruby developer&l=
Ruby on Rails Engineer,Bebee Affinity Social Network,"Austin, TX",11-14-2016,90940991,BBA000012816799,https://www.dice.com/jobs/detail/Ruby-on-Rails-Engineer-Bebee-Affinity-Social-Network-Austin-TX-73301/90940991/BBA000012816799?icid=sr64-1p&q=ruby developer&l=
Ruby on Rails Web Developer,"Creative Circle, LLC","Saint Louis, MO",11-03-2016,RTX141f45,STL4070,https://www.dice.com/jobs/detail/Ruby-on-Rails-Web-Developer-Creative-Circle%2C-LLC-Saint-Louis-MO-63125/RTX141f45/STL4070?icid=sr65-1p&q=ruby developer&l=
Ruby on Rails/ Full Stack Developer,AETEA Information Technology Inc,"Washington, DC",11-11-2016,cxaeteap,443521,https://www.dice.com/jobs/detail/Ruby-on-Rails%26%2347-Full-Stack-Developer-AETEA-Information-Technology-Inc-Washington-DC-20009/cxaeteap/443521?icid=sr66-1p&q=ruby developer&l=
Ruby on Rails Developer,"Tech Global Systems, Inc.","San Jose, CA",11-14-2016,90970052,773864,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-Tech-Global-Systems%2C-Inc.-San-Jose-CA-95101/90970052/773864?icid=sr67-1p&q=ruby developer&l=
Senior Ruby-on-Rails Developer - Back End,Volt,"Santa Barbara, CA",11-14-2016,cxvolt,J3K5R5665T76WX4X0PP,https://www.dice.com/jobs/detail/Senior-Ruby%26%2345on%26%2345Rails-Developer-%26%2345-Back-End-Volt-Santa-Barbara-CA-93101/cxvolt/J3K5R5665T76WX4X0PP?icid=sr68-1p&q=ruby developer&l=
