Title,Company,Link,Location,Date,Company Id,Job Id
Sr. Java Developer - EQUITY DERIVATIVES,Aegistech Inc.,"https://www.dice.com/jobs/detail/Sr.-Java-Developer-%26%2345-EQUITY-DERIVATIVES-Aegistech-Inc.-New-York-NY-10001/aegisoft/16412?icid=sr96-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 06:29:51 -0500,aegisoft,16412
Back End Developer - Virtual Reality Sports Broadcasting Startup,CyberCoders,"https://www.dice.com/jobs/detail/Back-End-Developer-%26%2345-Virtual-Reality-Sports-Broadcasting-Startup-CyberCoders-New-York-NY-10001/cybercod/KG1-12549282?icid=sr97-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 07:29:51 -0500,cybercod,KG1-12549282
Lead iOS Developer - PAID RELOCATION and EQUITY,CyberCoders,"https://www.dice.com/jobs/detail/Lead-iOS-Developer-%26%2345-PAID-RELOCATION-and-EQUITY-CyberCoders-Manhattan-NY-10001/cybercod/JB11-12564782?icid=sr98-1p&q=Ruby&l=Oakland, NJ","Manhattan, NY",2016-01-18 07:29:51 -0500,cybercod,JB11-12564782
DevOps Engineer,CyberCoders,"https://www.dice.com/jobs/detail/DevOps-Engineer-CyberCoders-New-York-NY-10001/cybercod/MN2-12549832?icid=sr99-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 07:29:51 -0500,cybercod,MN2-12549832
iOS Developer - PAID RELOCATION and EQUITY,CyberCoders,"https://www.dice.com/jobs/detail/iOS-Developer-%26%2345-PAID-RELOCATION-and-EQUITY-CyberCoders-Manhattan-NY-10001/cybercod/JB11-12564292?icid=sr100-1p&q=Ruby&l=Oakland, NJ","Manhattan, NY",2016-01-18 07:29:51 -0500,cybercod,JB11-12564292
"Full Stack Engineer - Python, PHP, MongoDB",CyberCoders,"https://www.dice.com/jobs/detail/Full-Stack-Engineer-%26%2345-Python%2C-PHP%2C-MongoDB-CyberCoders-New-York-NY-10001/cybercod/DW4-12551542?icid=sr101-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:51 -0500,cybercod,DW4-12551542
Lead Software Engineer,CyberCoders,"https://www.dice.com/jobs/detail/Lead-Software-Engineer-CyberCoders-New-York-NY-10001/cybercod/IC1-12572031?icid=sr102-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:51 -0500,cybercod,IC1-12572031
Software Architect,CyberCoders,"https://www.dice.com/jobs/detail/Software-Architect-CyberCoders-New-York-NY-10001/cybercod/LF2-122716719?icid=sr103-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:51 -0500,cybercod,LF2-122716719
"DevOps Engineer - Linux, Python, Chef",CyberCoders,"https://www.dice.com/jobs/detail/DevOps-Engineer-%26%2345-Linux%2C-Python%2C-Chef-CyberCoders-New-York-NY-10001/cybercod/SL2-12474578?icid=sr104-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:51 -0500,cybercod,SL2-12474578
Lead Mobile Developer - PAID RELOCATION and EQUITY,CyberCoders,"https://www.dice.com/jobs/detail/Lead-Mobile-Developer-%26%2345-PAID-RELOCATION-and-EQUITY-CyberCoders-Manhattan-NY-10001/cybercod/JB11-12537455?icid=sr105-1p&q=Ruby&l=Oakland, NJ","Manhattan, NY",2016-01-18 08:29:51 -0500,cybercod,JB11-12537455
